 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 11, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\15N_C.txt

 Ion = Nitrogen [7] , Mass = 15 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 550.00 MeV   7.030E-01  2.918E-04    1.93 mm    79.88 um    12.24 um  
 600.00 MeV   6.550E-01  2.695E-04    2.25 mm    92.38 um    14.24 um  
 650.00 MeV   6.138E-01  2.506E-04    2.60 mm   104.88 um    16.37 um  
 700.00 MeV   5.781E-01  2.342E-04    2.98 mm   117.45 um    18.64 um  
 800.00 MeV   5.193E-01  2.074E-04    3.79 mm   164.25 um    23.55 um  
 900.00 MeV   4.728E-01  1.862E-04    4.68 mm   207.61 um    28.95 um  
   1.00 GeV   4.350E-01  1.691E-04    5.66 mm   249.72 um    34.82 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.2529E+01                 eV / Angstrom 
  2.2529E+02                keV / micron   
  2.2529E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.9945E+01                 eV / (1E15 atoms/cm2)
  2.6663E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
