============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(13.8 MeV) ==> Polyethylene( 7527 A) ====================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T 1525  9 .1267744E+08   7545438E-03 -.1771E+02 -.7755E+01   .9999968 -.0017027 -.0018935
T 1526  9 .1266026E+08   7545523E-03  .1807E+02 -.2375E+02   .9999901  .0018855 -.0040294
T 1527  9 .1268746E+08   7556219E-03  .4971E+01  .5273E+01   .9999991 -.0000917  .0013341
T 1528  9 .1270671E+08   7553729E-03 -.1920E+02  .3682E+01   .9999916 -.0040811  .0003020
T 1529  9 .1266743E+08   7528249E-03 -.1020E+02 -.1083E+02   .9999961 -.0020836 -.0018801
T 1530  9 .1267020E+08   7553040E-03 -.1270E+02  .5419E+01   .9999959 -.0028437  .0003336
T 1531  9 .1273328E+08   7528976E-03 -.2361E+01  .2095E+02   .9999944  .0015748  .0029363
T 1532  9 .1266505E+08   7563805E-03  .1692E+02  .1891E+02   .9999549  .0072275  .0061664
T 1533  9 .1269393E+08   7527920E-03 -.5799E+01 -.5785E+01   .9999927  .0000699 -.0038097
T 1534  9 .1267648E+08   7563691E-03 -.1427E+02 -.2574E+01   .9999947 -.0032324 -.0002366
T 1535  9 .1268655E+08   7555334E-03  .3537E+00  .5627E+01   .9999864 -.0032414 -.0040925
T 1536  9 .1269386E+08   7564637E-03  .1015E+02  .2258E+01   .9999989  .0002895  .0014516
T 1537  9 .1264568E+08   7547182E-03  .1961E+01 -.1601E+01   .9999974  .0010725  .0020209
