============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(13.7 MeV) ==> Layer 1( 2.13 um) ========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   90  9 .8215728E+07   2133535E-02  .1826E+03  .1478E+03   .9996202  .0259498  .0092777
T   91  9 .8181795E+07   2141329E-02 -.1433E+02 -.1232E+03   .9999338 -.0029356 -.0111270
T   92  9 .8135298E+07   2130730E-02  .9500E+02 -.9610E+02   .9999579 -.0011314 -.0091065
T   93  9 .8168605E+07   2139674E-02 -.1315E+03  .4079E+02   .9998781 -.0155104  .0017973
T   94  9 .8157234E+07   2150438E-02  .2919E+03  .1314E+03   .9995928  .0271359  .0088248
T   95  9 .8199379E+07   2143717E-02  .2563E+03 -.9715E+02   .9996268  .0234541 -.0140068
T   96  9 .8080450E+07   2131287E-02  .9356E+02  .5958E+02   .9999952 -.0016156  .0026369
T   97  9 .8159999E+07   2137643E-02  .8884E+01  .1080E+02   .9999124  .0106051 -.0079213
T   98  9 .8152094E+07   2134566E-02  .1638E+03 -.1172E+03   .9998856  .0091226 -.0120636
T   99  9 .8158725E+07   2141447E-02 -.5807E+02 -.1655E+03   .9999125 -.0113185 -.0068437
T  100  9 .8154001E+07   2130304E-02 -.1910E+02  .3727E+03   .9995542 -.0026728  .0297366
T  101  9 .8197197E+07   2138283E-02 -.9338E+02  .2506E+03   .9996058  .0014641  .0280375
T  102  9 .8197011E+07   2140674E-02 -.1113E+03 -.9581E+02   .9999679 -.0067109 -.0043662
T  103  9 .8045898E+07   2146445E-02 -.4234E+01  .2536E+03   .9975795  .0097912  .0688430
T  104  9 .8138351E+07   2143580E-02  .9635E+02 -.9130E+01   .9999881  .0031759 -.0037027
T  105  9 .8160491E+07   2133941E-02 -.1905E+03  .9016E+01   .9999265 -.0121010 -.0007196
T  106  9 .8217040E+07   2140835E-02  .7577E+02  .4790E+02   .9999390  .0089868  .0064151
T  107  9 .8162186E+07   2131279E-02 -.9815E+02  .7021E+02   .9997818 -.0179084  .0107554
T  108  9 .8105267E+07   2141748E-02 -.1802E+03  .1303E+02   .9998821 -.0145370  .0049446
T  109  9 .8094380E+07   2130668E-02  .1564E+03 -.3737E+02   .9999395  .0107744 -.0021966
T  110  9 .8187020E+07   2131545E-02  .1254E+03  .1227E+03   .9999276  .0075122  .0093978
T  111  9 .8179176E+07   2138012E-02  .1624E+03 -.3312E+01   .9998082  .0180768  .0075325
T  112  9 .8107750E+07   2138754E-02  .1287E+03 -.6268E+01   .9999271  .0116954 -.0030177
T  113  9 .8185960E+07   2142054E-02  .2238E+03  .1625E+03   .9997500  .0163151  .0152895
T  114  9 .8040070E+07   2134502E-02 -.1284E+03 -.9489E+01   .9999039 -.0133389  .0037678
T  115  9 .8121073E+07   2132782E-02  .1000E+03  .6235E+02   .9999742  .0067370 -.0024736
T  116  9 .8172301E+07   2139374E-02  .2727E+03 -.7009E+02   .9998134  .0187369 -.0047088
T  117  9 .8205290E+07   2140595E-02 -.3356E+02  .3207E+03   .9989682 -.0082606  .0446582
T  118  9 .7944754E+07   2145778E-02  .1481E+02 -.5016E+02   .9999128  .0073593  .0109641
T  119  9 .8183274E+07   2135787E-02 -.1304E+03  .1191E+03   .9991267 -.0309839  .0280311
T  120  9 .8206845E+07   2131293E-02  .1692E+02  .1660E+03   .9999623  .0060002  .0062800
T  121  9 .8167191E+07   2143242E-02  .1382E+03  .1060E+03   .9997831  .0193719  .0076463
T  122  9 .8224526E+07   2139309E-02  .1342E+03 -.8227E+02   .9999028  .0083827 -.0111366
T  123  9 .8193279E+07   2135989E-02 -.1535E+03 -.5005E+02   .9987566  .0116157 -.0484803
T  124  9 .8160694E+07   2135851E-02  .6231E+02  .1918E+03   .9997937  .0106460  .0172976
T  125  9 .8231678E+07   2131545E-02 -.3371E+02 -.1034E+02   .9999305 -.0080621 -.0086063
T  126  9 .8165462E+07   2146296E-02 -.2534E+03  .6745E+02   .9999509 -.0093201 -.0033703
T  127  9 .8113571E+07   2148110E-02  .5856E+03  .2858E+03   .9985212  .0486866  .0241873
T  128  9 .8186406E+07   2142093E-02 -.1840E+03  .1181E+03   .9995732  .0152663  .0249075
T  129  9 .8088359E+07   2143530E-02 -.1309E+03  .5066E+02   .9998804 -.0138970  .0067853
T  130  9 .8215776E+07   2138684E-02 -.6537E+02  .1429E+03   .9996848  .0239821  .0074329
T  131  9 .8208502E+07   2133781E-02 -.1617E+03 -.9181E+02   .9998098 -.0158260 -.0113935
T  132  9 .8127977E+07   2146447E-02  .1136E+02 -.5405E+02   .9999762 -.0068683 -.0006792
T  133  9 .8243835E+07   2136090E-02 -.1033E+03  .1828E+02   .9999554 -.0058606  .0074119
T  134  9 .8141374E+07   2132766E-02 -.1631E+03  .1472E+03   .9998150 -.0141044  .0130770
T  135  9 .8118367E+07   2142323E-02 -.3138E+02  .5212E+02   .9999793 -.0055701  .0032266
