 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 11, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\15O_LiF.txt

 Ion = Oxygen [8] , Mass = 15.003 amu

 Target Density =  2.6400E+00 g/cm3 = 1.2258E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Li      3    050.00    026.76   
      F      9    050.00    073.24   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 275.00 MeV   1.446E+00  6.009E-04  419.52 um    16.93 um     3.22 um  
 300.00 MeV   1.344E+00  5.555E-04  487.45 um    19.49 um     3.70 um  
 325.00 MeV   1.256E+00  5.168E-04  560.32 um    22.07 um     4.21 um  
 350.00 MeV   1.180E+00  4.833E-04  638.12 um    24.69 um     4.75 um  
 375.00 MeV   1.114E+00  4.541E-04  720.73 um    27.34 um     5.33 um  
 400.00 MeV   1.057E+00  4.283E-04  807.99 um    30.02 um     5.94 um  
 450.00 MeV   9.703E-01  3.850E-04  994.99 um    40.07 um     7.24 um  
 500.00 MeV   8.913E-01  3.499E-04    1.20 mm    49.40 um     8.65 um  
 550.00 MeV   8.255E-01  3.209E-04    1.42 mm    58.50 um    10.17 um  
 600.00 MeV   7.698E-01  2.965E-04    1.66 mm    67.53 um    11.80 um  
 650.00 MeV   7.220E-01  2.757E-04    1.91 mm    76.56 um    13.54 um  
 700.00 MeV   6.805E-01  2.577E-04    2.18 mm    85.64 um    15.38 um  
 800.00 MeV   6.120E-01  2.282E-04    2.77 mm   119.43 um    19.36 um  
 900.00 MeV   5.577E-01  2.050E-04    3.42 mm   150.73 um    23.73 um  
   1.00 GeV   5.136E-01  1.862E-04    4.12 mm   181.10 um    28.47 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.6399E+01                 eV / Angstrom 
  2.6399E+02                keV / micron   
  2.6399E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  2.1536E+01                 eV / (1E15 atoms/cm2)
  2.6714E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
