============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(13.7 MeV) ==> Aluminium( 2.66 um) ======================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  102  9 .8077099E+07   2660604E-02  .4814E+04  .2730E+03   .9810127  .1934571  .0137272
T  103  9 .8029525E+07   2665633E-02  .4578E+04 -.3414E+02   .9864298  .1641671 -.0023034
T  104  9 .7912777E+07   2675304E-02  .5039E+04  .7318E+02   .9831830  .1824839  .0071247
T  105  9 .7970053E+07   2674213E-02  .4771E+04 -.2827E+02   .9846393  .1739992 -.0144827
T  106  9 .7863146E+07   2677288E-02  .4768E+04 -.7219E+02   .9826472  .1854435  .0038886
T  107  9 .7843299E+07   2683159E-02  .4794E+04  .2619E+01   .9836034  .1803376 -.0016388
T  108  9 .7839863E+07   2667799E-02  .4872E+04 -.9290E+02   .9834761  .1810040 -.0034987
T  109  9 .7866256E+07   2684967E-02  .5258E+04  .2723E+03   .9787268  .2049125  .0102337
T  110  9 .7904959E+07   2666561E-02  .4822E+04  .4204E+03   .9845504  .1742848  .0168928
T  111  9 .7856942E+07   2667279E-02  .4901E+04 -.8657E+02   .9793322  .2020971 -.0080773
T  112  9 .7886924E+07   2682628E-02  .5157E+04  .1735E+03   .9788040  .2046292  .0083416
T  113  9 .7848201E+07   2670946E-02  .4950E+04 -.4707E+03   .9850148  .1706248 -.0251592
T  114  9 .7882401E+07   2663054E-02  .4695E+04 -.1138E+03   .9824582  .1861384 -.0113315
T  115  9 .8012387E+07   2672027E-02  .4800E+04  .8145E+02   .9849298  .1726491  .0102718
T  116  9 .7863647E+07   2664412E-02  .4313E+04 -.2652E+02   .9910808  .1331162  .0062399
T  117  9 .8012759E+07   2666547E-02  .4448E+04  .4366E+03   .9866440  .1604380  .0281659
T  118  9 .7938367E+07   2660280E-02  .5139E+04  .3488E+03   .9803821  .1959080  .0217043
T  119  9 .7996889E+07   2674651E-02  .4662E+04  .5322E+03   .9842739  .1725177  .0379809
T  120  9 .7975182E+07   2677238E-02  .4383E+04 -.2136E+03   .9866586  .1619189 -.0169463
T  121  9 .7994936E+07   2678320E-02  .4398E+04 -.2155E+03   .9882345  .1526444 -.0096055
T  122  9 .7912417E+07   2662645E-02  .5075E+04  .2245E+03   .9803947  .1966349  .0126826
T  123  9 .7990795E+07   2681808E-02  .4640E+04  .4815E+01   .9878187  .1555753 -.0032378
T  124  9 .8001006E+07   2670728E-02  .4775E+04 -.2467E+02   .9850103  .1723221 -.0077330
T  125  9 .7871175E+07   2678784E-02  .5058E+04 -.3191E+03   .9818957  .1893894  .0035449
T  126  9 .7929087E+07   2685208E-02  .4783E+04 -.1233E+03   .9822959  .1872319 -.0062383
T  127  9 .7958913E+07   2680137E-02  .4598E+04  .1232E+03   .9849590  .1727236  .0047210
T  128  9 .7925143E+07   2686517E-02  .4762E+04  .2628E+03   .9809672  .1937567  .0127143
T  129  9 .8028172E+07   2671137E-02  .4711E+04  .2593E+03   .9855951  .1686498  .0126300
T  130  9 .8007058E+07   2666547E-02  .4627E+04 -.9907E+02   .9861147  .1659414 -.0064177
T  131  9 .7930333E+07   2675697E-02  .4513E+04 -.9932E+02   .9841868  .1766112 -.0135925
T  132  9 .7921353E+07   2672837E-02  .4825E+04 -.1288E+03   .9827288  .1850178 -.0035325
T  133  9 .7888111E+07   2664382E-02  .4857E+04  .9824E+02   .9835848  .1803778 -.0049737
T  134  9 .7964490E+07   2661282E-02  .4887E+04  .6360E+02   .9829800  .1837031 -.0018799
T  135  9 .7911247E+07   2665802E-02  .5157E+04 -.1548E+03   .9793766  .2019026 -.0075407
T  136  9 .7960214E+07   2684642E-02  .4406E+04  .2928E+03   .9882176  .1516175  .0209307
T  137  9 .7989230E+07   2676304E-02  .4652E+04 -.5167E+03   .9863633  .1586070 -.0439471
