 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> March 05, 2013 
 ==================================================================

 Disk File Name = SRIM Outputs\14C_70Zn.txt

 Ion = Carbon [6] , Mass = 14.003 amu

 Target Density =  7.1400E+00 g/cm3 = 6.1490E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Zn     30    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 450.00 MeV   3.740E-01  1.607E-04  972.70 um    39.27 um    16.55 um  
 500.00 MeV   3.450E-01  1.462E-04    1.17 mm    48.19 um    19.67 um  
 550.00 MeV   3.206E-01  1.342E-04    1.38 mm    56.87 um    23.02 um  
 600.00 MeV   3.000E-01  1.240E-04    1.60 mm    65.46 um    26.60 um  
 650.00 MeV   2.822E-01  1.154E-04    1.84 mm    74.03 um    30.38 um  
 700.00 MeV   2.667E-01  1.079E-04    2.10 mm    82.64 um    34.38 um  
 800.00 MeV   2.409E-01  9.566E-05    2.65 mm   114.23 um    42.99 um  
 900.00 MeV   2.205E-01  8.599E-05    3.26 mm   143.47 um    52.38 um  
   1.00 GeV   2.037E-01  7.816E-05    3.92 mm   171.78 um    62.50 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  7.1398E+01                 eV / Angstrom 
  7.1398E+02                keV / micron   
  7.1398E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.1611E+02                 eV / (1E15 atoms/cm2)
  1.6447E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
