============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(13.7 MeV) ==> Graphite (carbon)( 2.13 um) ==============
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   89  9 .8272543E+07   2140275E-02  .1663E+04 -.1055E+03   .9982060  .0575492 -.0165193
T   90  9 .8258808E+07   2149572E-02  .1907E+04  .5250E+02   .9957515  .0920497  .0024007
T   91  9 .8271825E+07   2147844E-02  .1985E+04 -.7326E+02   .9953313  .0965070 -.0013825
T   92  9 .8159803E+07   2130101E-02  .2231E+04 -.5914E+03   .9938757  .1076696 -.0248674
T   93  9 .8446837E+07   2151625E-02  .1843E+04  .3697E+02   .9967953  .0799202 -.0034524
T   94  9 .8331007E+07   2131344E-02  .1882E+04 -.9874E+02   .9959421  .0894988 -.0094542
T   95  9 .8299083E+07   2142357E-02  .1907E+04  .9674E+02   .9951897  .0978794 -.0041337
T   96  9 .8274190E+07   2139650E-02  .1797E+04  .3024E+02   .9964161  .0845640  .0019741
T   97  9 .8373128E+07   2132659E-02  .1888E+04 -.9662E+02   .9955448  .0940235 -.0070850
T   98  9 .8251525E+07   2149815E-02  .2004E+04 -.9264E+02   .9955154  .0937173 -.0128897
T   99  9 .8257354E+07   2142472E-02  .1968E+04 -.7293E+02   .9962057  .0867318 -.0071908
T  100  9 .8249021E+07   2138637E-02  .1933E+04  .1079E+03   .9958777  .0904598  .0066840
T  101  9 .8326182E+07   2139966E-02  .1901E+04 -.1021E+02   .9965753  .0826197 -.0034072
T  102  9 .8213690E+07   2145463E-02  .1883E+04 -.3836E+03   .9947675  .0925845 -.0431951
T  103  9 .8288937E+07   2137359E-02  .1869E+04 -.1327E+03   .9967296  .0807182  .0038229
T  104  9 .8267879E+07   2148728E-02  .1797E+04 -.4634E+02   .9962867  .0858365 -.0067033
T  105  9 .8291594E+07   2139213E-02  .2021E+04  .4036E+02   .9955343  .0942463  .0053853
T  106  9 .8255798E+07   2146614E-02  .1824E+04 -.2491E+02   .9966887  .0812648 -.0027865
T  107  9 .8213835E+07   2148418E-02  .2087E+04  .6832E+02   .9945739  .1040138  .0019749
T  108  9 .8216081E+07   2140163E-02  .1994E+04 -.1858E+02   .9955978  .0937278  .0003691
T  109  9 .8222106E+07   2150111E-02  .2116E+04  .1631E+03   .9937141  .1111529  .0133195
T  110  9 .8349645E+07   2139684E-02  .1888E+04  .1535E+03   .9957614  .0909702  .0135545
T  111  9 .8144167E+07   2139361E-02  .1786E+04 -.7094E+01   .9968589  .0791480 -.0028180
T  112  9 .8192639E+07   2145745E-02  .2010E+04  .1323E+02   .9952785  .0970599  .0002088
T  113  9 .8256210E+07   2142759E-02  .1938E+04 -.9353E+02   .9949513  .1003099 -.0031438
