============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(500 keV) ==> Layer 1(  271 A) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  104  2 .4642533E+06   2714614E-04  .4926E+03  .2701E+00   .4706856  .8822245 -.0116183
T  105  2 .4641963E+06   2711556E-04  .5252E+03  .9858E+01   .4220305  .9064318 -.0164803
T  106  2 .4696372E+06   2731372E-04  .4278E+03  .4224E+02   .5553423  .8123706  .1779015
T  107  2 .4669181E+06   2720145E-04  .4567E+03  .2875E+01   .5386370  .8421948 -.0240438
T  108  2 .4596912E+06   2718750E-04  .4822E+03  .1419E+01   .4861517  .8737365  .0155267
T  109  2 .4730991E+06   2720461E-04  .4775E+03 -.3798E+01   .5108403  .8594854 -.0180855
T  110  2 .4691673E+06   2720364E-04  .4679E+03 -.1442E+02   .4487616  .8606179 -.2407278
T  111  2 .4634916E+06   2718466E-04  .4635E+03  .3201E+00   .5139344  .8552375 -.0666354
T  112  2 .4539150E+06   2719533E-04  .4450E+03 -.2686E+01   .5381810  .8423266 -.0291050
T  113  2 .4689390E+06   2719759E-04  .4837E+03 -.3141E+01   .4786350  .8778877 -.0148868
T  114  2 .4662045E+06   2720808E-04  .4638E+03 -.7199E+01   .5022780  .8629934 -.0543983
T  115  2 .4617059E+06   2719982E-04  .5830E+03 -.2071E+01   .2291591  .9733217  .0114437
T  116  2 .4712637E+06   2719459E-04  .4542E+03 -.2257E+02   .5153333  .8532660 -.0798040
T  117  2 .4619742E+06   2723351E-04  .4271E+03 -.5384E+01   .6060947  .7951527 -.0195305
T  118  2 .4634394E+06   2713637E-04  .4737E+03  .1684E+02   .4856105  .8727050  .0506796
T  119  2 .4680883E+06   2719480E-04  .4735E+03  .7194E+01   .5041445  .8626567  .0407654
T  120  2 .4671993E+06   2713072E-04  .4499E+03  .2075E+01   .5203275  .8539602 -.0033486
T  121  2 .4595296E+06   2713689E-04  .4725E+03  .1531E+02   .4816509  .8739915  .0644302
T  122  2 .4613709E+06   2712734E-04  .4642E+03  .3731E+01   .5002231  .8657065  .0181402
T  123  2 .4613519E+06   2710188E-04  .4786E+03  .2704E+01   .4777510  .8783007  .0184897
T  124  2 .4667066E+06   2718884E-04  .5004E+03 -.1186E+02   .4006259  .9157954 -.0285947
T  125  2 .4680237E+06   2726212E-04  .4737E+03  .4214E+01   .4893167  .8716193  .0291374
T  126  2 .4609300E+06   2728926E-04  .5281E+03 -.1762E+02   .3994752  .9153631 -.0502989
T  127  2 .4605494E+06   2713043E-04  .4749E+03 -.1234E+02   .5056335  .8611426 -.0526127
T  128  2 .4625753E+06   2714713E-04  .4796E+03 -.8663E+01   .4807997  .8764203 -.0268160
T  129  2 .4606112E+06   2717514E-04  .4761E+03  .9954E+01   .5722277  .8189471  .0433727
T  130  2 .4621245E+06   2719207E-04  .4620E+03 -.4548E+01   .5123282  .8586362 -.0162381
T  131  2 .4722635E+06   2729287E-04  .4775E+03  .1200E+02   .4988945  .8665166  .0159130
T  132  2 .4734743E+06   2714897E-04  .4544E+03  .3949E+01   .5358029  .8438692  .0282849
T  133  2 .4603259E+06   2728464E-04  .4551E+03  .6354E+01   .5375052  .8418193  .0492789
T  134  2 .4622294E+06   2733408E-04  .4773E+03  .1281E+02   .5038452  .8626698  .0440555
T  135  2 .4562793E+06   2712643E-04  .5090E+03 -.6724E+01   .3771768  .9194570 -.1110702
T  136  2 .4756777E+06   2731765E-04  .4649E+03  .6732E+01   .4961994  .8680855  .0146183
T  137  2 .4616316E+06   2718447E-04  .4648E+03 -.4767E+01   .5280076  .8491770 -.0103141
