 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> March 12, 2013 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_CAI_Gou.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  2.4115E+00 g/cm3 = 5.3576E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mg     12    017.75    015.92   
     Al     13    029.23    029.10   
     Si     14    028.44    029.47   
     Ti     22    008.69    015.36   
     Fe     26    000.53    001.09   
      O      8    015.35    009.06   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 250.00 MeV   3.109E-03  9.264E-07  198.49 mm     8.40 mm     7.10 mm  
 275.00 MeV   2.942E-03  8.487E-07  232.70 mm     9.78 mm     8.24 mm  
 300.00 MeV   2.802E-03  7.834E-07  268.72 mm    11.11 mm     9.43 mm  
 325.00 MeV   2.684E-03  7.278E-07  306.44 mm    12.42 mm    10.65 mm  
 350.00 MeV   2.582E-03  6.798E-07  345.73 mm    13.70 mm    11.92 mm  
 375.00 MeV   2.495E-03  6.379E-07  386.48 mm    14.96 mm    13.21 mm  
 400.00 MeV   2.418E-03  6.011E-07  428.60 mm    16.21 mm    14.53 mm  
 450.00 MeV   2.291E-03  5.392E-07  516.52 mm    20.61 mm    17.24 mm  
 500.00 MeV   2.190E-03  4.892E-07  608.91 mm    24.59 mm    20.02 mm  
 550.00 MeV   2.108E-03  4.480E-07  705.22 mm    28.30 mm    22.85 mm  
 600.00 MeV   2.042E-03  4.134E-07  804.97 mm    31.81 mm    25.73 mm  
 650.00 MeV   1.986E-03  3.839E-07  907.75 mm    35.16 mm    28.63 mm  
 700.00 MeV   1.939E-03  3.585E-07    1.01 m     38.39 mm    31.55 mm  
 800.00 MeV   1.865E-03  3.168E-07    1.23 m     49.54 mm    37.41 mm  
 900.00 MeV   1.811E-03  2.841E-07    1.46 m     59.23 mm    43.26 mm  
   1.00 GeV   1.769E-03  2.576E-07    1.69 m     67.98 mm    49.06 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.4114E+01                 eV / Angstrom 
  2.4114E+02                keV / micron   
  2.4114E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  4.5010E+01                 eV / (1E15 atoms/cm2)
  2.8857E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
