 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> March 17, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\60Fe_CD2.txt

 Ion = Iron [26] , Mass = 59.934 amu

 Target Density =  9.3000E-01 g/cm3 = 1.0476E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   3.50 GeV   6.703E+00  2.399E-03    3.31 mm   125.91 um     9.41 um  
   3.75 GeV   6.371E+00  2.254E-03    3.72 mm   138.71 um    10.48 um  
   4.00 GeV   6.075E+00  2.126E-03    4.15 mm   151.59 um    11.61 um  
   4.50 GeV   5.559E+00  1.911E-03    5.08 mm   200.31 um    14.00 um  
   5.00 GeV   5.132E+00  1.736E-03    6.08 mm   245.80 um    16.59 um  
   5.50 GeV   4.778E+00  1.592E-03    7.17 mm   289.87 um    19.35 um  
   6.00 GeV   4.478E+00  1.471E-03    8.33 mm   333.29 um    22.29 um  
   6.50 GeV   4.222E+00  1.368E-03    9.57 mm   376.43 um    25.40 um  
   7.00 GeV   3.999E+00  1.278E-03   10.88 mm   419.50 um    28.67 um  
   8.00 GeV   3.634E+00  1.132E-03   13.70 mm   579.11 um    35.67 um  
   9.00 GeV   3.345E+00  1.016E-03   16.78 mm   725.18 um    43.24 um  
  10.00 GeV   3.111E+00  9.232E-04   20.12 mm   865.08 um    51.34 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  9.2997E+00                 eV / Angstrom 
  9.2997E+01                keV / micron   
  9.2997E+01                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  8.8772E+00                 eV / (1E15 atoms/cm2)
  5.3913E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
