 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> March 07, 2013 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_CAI_rho3.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  3.0000E+00 g/cm3 = 8.1826E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    013.08    015.98   
     Mg     12    005.61    006.18   
     Si     14    010.84    013.79   
     Ca     20    011.59    021.04   
     Fe     26    000.19    000.48   
      O      8    058.69    042.53   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 300.00 MeV   2.932E-03  8.246E-07  206.21 mm     8.50 mm     6.73 mm  
 325.00 MeV   2.808E-03  7.660E-07  235.20 mm     9.50 mm     7.61 mm  
 350.00 MeV   2.701E-03  7.154E-07  265.40 mm    10.48 mm     8.51 mm  
 375.00 MeV   2.609E-03  6.713E-07  296.73 mm    11.44 mm     9.43 mm  
 400.00 MeV   2.529E-03  6.325E-07  329.11 mm    12.39 mm    10.38 mm  
 450.00 MeV   2.396E-03  5.673E-07  396.71 mm    15.78 mm    12.32 mm  
 500.00 MeV   2.290E-03  5.147E-07  467.74 mm    18.83 mm    14.31 mm  
 550.00 MeV   2.205E-03  4.713E-07  541.79 mm    21.67 mm    16.34 mm  
 600.00 MeV   2.135E-03  4.348E-07  618.48 mm    24.36 mm    18.40 mm  
 650.00 MeV   2.077E-03  4.038E-07  697.51 mm    26.93 mm    20.48 mm  
 700.00 MeV   2.028E-03  3.770E-07  778.60 mm    29.40 mm    22.57 mm  
 800.00 MeV   1.951E-03  3.331E-07  945.96 mm    37.97 mm    26.76 mm  
 900.00 MeV   1.894E-03  2.987E-07    1.12 m     45.40 mm    30.95 mm  
   1.00 GeV   1.851E-03  2.709E-07    1.30 m     52.11 mm    35.10 mm  
   1.10 GeV   1.818E-03  2.479E-07    1.48 m     58.30 mm    39.20 mm  
   1.20 GeV   1.792E-03  2.287E-07    1.66 m     64.07 mm    43.24 mm  
   1.30 GeV   1.772E-03  2.123E-07    1.85 m     69.51 mm    47.22 mm  
   1.40 GeV   1.757E-03  1.982E-07    2.04 m     74.66 mm    51.12 mm  
   1.50 GeV   1.745E-03  1.858E-07    2.23 m     79.56 mm    54.95 mm  
   1.60 GeV   1.735E-03  1.750E-07    2.42 m     84.23 mm    58.70 mm  
   1.70 GeV   1.728E-03  1.654E-07    2.61 m     88.71 mm    62.37 mm  
   1.80 GeV   1.722E-03  1.568E-07    2.81 m     93.01 mm    65.98 mm  
   2.00 GeV   1.715E-03  1.422E-07    3.19 m    108.29 mm    72.97 mm  
   2.25 GeV   1.712E-03  1.274E-07    3.68 m    128.62 mm    81.32 mm  
   2.50 GeV   1.712E-03  1.155E-07    4.17 m    146.19 mm    89.27 mm  
   2.75 GeV   1.716E-03  1.057E-07    4.65 m    161.85 mm    96.86 mm  
   3.00 GeV   1.721E-03  9.742E-08    5.14 m    176.06 mm   104.10 mm  
   3.25 GeV   1.727E-03  9.041E-08    5.62 m    189.14 mm   111.04 mm  
   3.50 GeV   1.733E-03  8.436E-08    6.10 m    201.29 mm   117.70 mm  
   3.75 GeV   1.741E-03  7.910E-08    6.58 m    212.66 mm   124.09 mm  
   4.00 GeV   1.748E-03  7.447E-08    7.06 m    223.37 mm   130.25 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.9999E+01                 eV / Angstrom 
  2.9999E+02                keV / micron   
  2.9999E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  3.6662E+01                 eV / (1E15 atoms/cm2)
  2.2065E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
