============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(500 keV) ==> Layer 1( 1846 A) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  210  2 .3856256E+06   1850007E-03  .3078E+02 -.2808E+02   .9960050 -.0741477 -.0497611
T  211  2 .3814219E+06   1854614E-03  .6612E+02 -.2753E+02   .9918607  .1155346 -.0535170
T  212  2 .3844039E+06   1855865E-03  .2444E+03 -.2316E+02   .9750367  .2219966  .0045744
T  213  2 .3839366E+06   1849602E-03 -.6378E+02  .1113E+02   .9906717 -.1220435  .0606208
T  214  2 .3804764E+06   1855768E-03  .1224E+03 -.4559E+01   .9889574  .1478161 -.0106628
T  215  2 .3922416E+06   1847638E-03  .1239E+03  .1382E+03   .9812756  .1889264 -.0374841
T  216  2 .3872398E+06   1846283E-03  .7479E+01  .1162E+03   .9864112  .0499256  .1565257
T  217  2 .3648082E+06   1851397E-03 -.1317E+02  .2869E+02   .9574404 -.1867190  .2200997
T  218  2 .3729178E+06   1848746E-03  .1412E+03  .3893E+02   .9735037  .2284968  .0089279
T  219  2 .4052127E+06   1846244E-03  .5681E+02 -.5736E+02   .9988292  .0475142 -.0090904
T  220  2 .3797266E+06   1861142E-03 -.3406E+02  .3374E+02   .9987436 -.0447413  .0225716
T  221  2 .3796541E+06   1853958E-03  .7806E+02  .4508E+02   .9949865 -.0737234 -.0675769
T  222  2 .3924304E+06   1847794E-03  .1332E+03  .4117E+03   .9344538  .1097359  .3387537
T  223  2 .3799750E+06   1851217E-03 -.6677E+02 -.1210E+03   .9842876 -.0724627 -.1610191
T  224  2 .3735733E+06   1855023E-03 -.5658E+02 -.1708E+02   .9984324 -.0558063 -.0042870
T  225  2 .3777675E+06   1848460E-03 -.1066E+03  .7454E+02   .9391813 -.2381937  .2473909
T  226  2 .3808881E+06   1849137E-03  .3201E+02 -.3872E+00   .9999180 -.0123253  .0034686
T  227  2 .3749226E+06   1848126E-03  .1453E+03 -.6053E+02   .9879029  .1331044 -.0795683
T  228  2 .3782703E+06   1855748E-03  .2930E+02  .4001E+02   .9977937  .0454309  .0484116
T  229  2 .3822361E+06   1857521E-03 -.7383E+02  .1092E+03   .9535759  .0459771  .2976225
T  230  2 .3719721E+06   1846394E-03  .9563E+02 -.1734E+02   .9963240  .0649132 -.0559003
T  231  2 .3588805E+06   1857859E-03 -.2217E+02  .4423E+01   .9989115 -.0171527  .0433775
T  232  2 .3848001E+06   1846123E-03  .1450E+02  .9011E+02   .9923713  .0760225  .0970560
T  233  2 .3851033E+06   1853462E-03 -.9916E+02 -.9370E+02   .9948498  .0140200 -.1003861
T  234  2 .3878515E+06   1853952E-03  .1204E+03 -.6131E+02   .9804739  .1754458 -.0888241
T  235  2 .3865540E+06   1860641E-03 -.4188E+02  .6582E+02   .9901119 -.1391162  .0180311
T  236  2 .3964660E+06   1846437E-03  .1613E+03  .2044E+03   .9710591  .2172279  .0992787
T  237  2 .3798365E+06   1849721E-03  .1918E+03  .1351E+03   .8950932  .4184280  .1540331
T  238  2 .3695652E+06   1848328E-03 -.1791E+02 -.4172E+02   .9986583 -.0467265 -.0223203
T  239  2 .3772927E+06   1846195E-03 -.7289E+02  .9195E+02   .9903734 -.1121719  .0811045
