============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(500 keV) ==> Layer 1( 1846 A) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  116  1 .4700984E+06   1856962E-03  .1289E+03  .1036E+02   .9994242  .0078411  .0330128
T  117  1 .4684366E+06   1855124E-03  .2017E+03  .1870E+02   .9933833  .1143457  .0107120
T  118  1 .4712167E+06   1851294E-03  .1558E+03  .2745E+02   .9982277  .0565298  .0185949
T  119  1 .4623239E+06   1846627E-03  .2004E+03  .3019E+02   .9901091  .1398262 -.0115118
T  120  1 .4701987E+06   1854258E-03  .1521E+03 -.4887E+02   .9976709  .0479756 -.0484881
T  121  1 .4667802E+06   1846386E-03  .3252E+02 -.1927E+03   .9841264 -.0125846 -.1770223
T  122  1 .4736360E+06   1850348E-03  .1841E+03  .4062E+02   .9940442  .1010409 -.0408269
T  123  1 .4603700E+06   1851733E-03  .1318E+03 -.1282E+02   .9693180  .2299574 -.0868455
T  124  1 .4618319E+06   1854562E-03  .1818E+03 -.1413E+01   .9817643  .1895586 -.0143691
T  125  1 .4701355E+06   1846406E-03  .1129E+03  .8108E+02   .9947519  .0199646  .1003499
T  126  1 .4625490E+06   1859127E-03  .2687E+03 -.2213E+02   .9947112  .1027078 -.0008250
T  127  1 .4633612E+06   1851452E-03  .2016E+03 -.1665E+01   .9917108  .1263634  .0232787
